id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
61.0,1.0,16814.081149560152,22189.62388902715,489.0,17.282,672.32,-1.0
62.0,1.0,5374.3163583715195,15276.595409910411,757.2283679105531,9.9225,672.32,2420.0
63.0,1.0,18366.24058092117,21920.109790843697,698.6425551237508,9.9331,672.32,2071.0
64.0,1.0,16675.057253514766,14720.229459499476,491.0,16.022,672.32,-1.0
65.0,1.0,6257.895038090665,14353.375521877135,486.2150556419522,19.287,672.32,2142.0
66.0,1.0,5861.666404345122,22664.47827896194,548.224373871562,11.604,672.32,2256.0
67.0,1.0,11028.660962839258,14549.907767436956,189.20907189389644,31.323,672.32,2084.0
68.0,1.0,13410.314926644403,25397.766687954678,830.5974130557421,15.286,672.32,561.0
69.0,1.0,8642.143719194493,24565.000051167786,618.0,19.421,672.32,-1.0
70.0,1.0,11538.985711136678,20855.96982650987,648.0,7.7251,672.32,-1.0
71.0,1.0,16604.132277642988,22708.62022471864,403.3769098757795,17.384,672.32,1167.0
72.0,1.0,21979.500060815666,22247.130061152544,361.0,26.612,672.32,-1.0
73.0,1.0,3032.213973319173,19532.268209307258,799.0,18.011,672.32,-1.0
74.0,1.0,17803.582700281182,28709.335947500695,458.0,24.669,672.32,-1.0
75.0,1.0,10347.57115880797,20315.96404437811,737.0,15.211,672.32,-1.0
76.0,1.0,5268.971444614881,15983.640974771848,617.0,17.572,672.32,-1.0
77.0,1.0,3962.9137805746254,20735.99121096011,398.19588254039536,10.563,672.32,752.0
78.0,1.0,14278.599673882673,28402.01891326699,365.0,22.405,672.32,-1.0
79.0,1.0,11193.656823456058,16552.050361490517,371.1978139613107,11.584,672.32,146.0
80.0,1.0,13642.385953112289,20550.998302519343,177.0,33.23,672.32,-1.0
81.0,1.0,11811.903884624166,20898.328154036168,655.5811590470257,6.0098,672.32,1423.0
82.0,1.0,11501.669671988124,22388.849131005416,487.6369011701511,6.2596,672.32,1341.0
83.0,1.0,12071.616725239686,20734.830183109698,427.0,18.709,672.32,-1.0
84.0,1.0,8755.167959588449,16454.501463149885,581.0232996542916,9.6643,672.32,2151.0
85.0,1.0,7820.288823357163,18889.400425540553,470.9570780459381,6.0276,672.32,1325.0
86.0,1.0,11299.332016667999,16355.39003091215,370.8452796513901,8.8249,672.32,1287.0
87.0,1.0,7139.42178683151,21904.118387402348,522.0,6.7051,672.32,-1.0
88.0,1.0,4983.9131448704475,22816.532757250236,749.0,25.11,672.32,-1.0
89.0,1.0,15871.930770032352,26473.64998697461,916.6631785267073,18.799,672.32,951.0
90.0,1.0,10594.102919578187,18854.108323731005,351.7790729729403,15.487,672.32,747.0
91.0,1.0,7211.097176641069,17928.545960503696,959.6183321837506,20.929,672.32,2000.0
92.0,1.0,12038.907719696746,24123.731510051308,736.0,12.061,672.32,-1.0
93.0,1.0,7952.3295193402055,19488.523740406214,630.7978080111296,40.723,672.32,1355.0
94.0,1.0,19432.42305593241,15497.223434812531,483.7273781310606,8.2176,672.32,519.0
95.0,1.0,16574.0257241162,23292.725186180454,574.6502685317226,10.433,672.32,2045.0
96.0,1.0,8715.401462471318,16015.235342165657,950.6177287332798,9.3441,672.32,2156.0
97.0,1.0,6299.369065852345,22572.608800248134,409.25541259712196,8.8403,672.32,695.0
98.0,1.0,22764.82779694465,19648.663790249946,930.7743750745968,13.689,672.32,489.0
99.0,1.0,16457.652745050593,17316.92141702113,584.1241323133951,12.858,672.32,1808.0
100.0,1.0,21191.72880668365,23056.79665399596,-190.7118240252115,36.618,672.32,941.0
101.0,1.0,13358.097680984585,18296.362126739732,442.2298703530124,13.823,672.32,1029.0
102.0,1.0,13935.660163586343,13739.790941455702,533.1835912941566,17.243,672.32,2009.0
103.0,1.0,9507.01044559379,22719.18807267488,54.696748517227206,9.2882,672.32,2554.0
104.0,1.0,16501.999956238913,17721.678499730933,817.0,8.15,672.32,-1.0
105.0,1.0,12561.881161818483,27108.73038379448,434.0,10.059,672.32,-1.0
106.0,1.0,17762.516753118798,21379.165453776543,623.0,10.226,672.32,-1.0
107.0,1.0,7575.587946501764,20464.670564141474,610.0,14.052,672.32,-1.0
108.0,1.0,15540.712522527925,26881.263794789265,77.03737645191859,18.155,672.32,2378.0
109.0,1.0,4904.618960733126,18552.394905968067,516.1379299983641,20.126,672.32,1147.0
110.0,1.0,10907.712228209204,16667.239116357847,956.9802405441034,11.602,672.32,148.0
111.0,1.0,15981.31028858618,24918.227655228446,767.3369786175664,15.973,672.32,1665.0
112.0,1.0,3941.0536566161663,18956.05449750793,855.0196509726217,16.233,672.32,129.0
113.0,1.0,21145.36745157715,19184.83034983939,788.4912237768212,26.373,672.32,813.0
114.0,1.0,19912.182124106752,27671.562903526596,559.6449224591905,10.496,672.32,1223.0
115.0,1.0,22378.202379548547,23100.589835648352,623.5326182139772,20.212,672.32,1627.0
116.0,1.0,6793.781644361066,19514.370182264312,724.0885855218603,9.039,672.32,1196.0
117.0,1.0,4091.925438386495,18820.293756262425,763.2905603680446,14.859,672.32,2536.0
118.0,1.0,21935.820131900695,18303.9748985593,167.39231333039902,27.578,672.32,2479.0
119.0,1.0,10561.441035524622,23482.304203878364,414.0408638987813,25.304,672.32,2339.0
120.0,1.0,11658.599954838166,17586.705557679365,519.0,9.3272,672.32,-1.0
121.0,1.0,20307.452312478676,16366.057764033487,374.10954316994327,11.374,672.32,2348.0
122.0,1.0,10399.678499582382,15095.787336027763,570.0,6.6248,672.32,-1.0
123.0,1.0,18357.884376693422,28021.344930575397,271.1165543343504,18.859,672.32,160.0
124.0,1.0,14095.484879419237,24056.743549387316,299.9935463218337,12.105,672.32,399.0
125.0,1.0,15226.323519110789,28501.293502671106,558.0648071927834,10.633,672.32,38.0
126.0,1.0,15738.897908890165,14570.983351217435,842.1173154959484,12.356,672.32,2586.0
127.0,1.0,11033.314706627061,17931.72955979226,787.2882258098356,10.52,672.32,557.0
128.0,1.0,12730.665108962008,15775.708454041898,494.38868308896866,26.98,672.32,835.0
129.0,1.0,14469.007928812971,23443.23477429783,507.0,12.078,672.32,-1.0
130.0,1.0,10628.731844826523,19903.61838812276,666.5042224712963,8.1111,672.32,298.0
131.0,1.0,12832.644183302029,24914.14440894782,733.7472368049993,6.5283,672.32,2202.0
132.0,1.0,5050.69879692729,18866.392048355203,269.87169581068554,9.1416,672.32,2210.0
133.0,1.0,4355.259556731041,22024.76675011507,263.0,15.994,672.32,-1.0
134.0,1.0,4427.13490758091,18847.157340647653,350.08066063846957,14.158,672.32,1145.0
135.0,1.0,9868.725211666564,15194.877625285422,-7.491504829417636,30.477,672.32,2506.0
136.0,1.0,6994.672178596036,17095.71388927866,160.0,22.401,672.32,-1.0
137.0,1.0,18015.253241207636,20263.78387094195,179.3437344707088,13.645,672.32,764.0
138.0,1.0,7507.074221079472,15973.007233797889,740.0,11.021,672.32,-1.0
139.0,1.0,5807.462313048889,15113.11324253113,844.1996642959334,9.8344,672.32,2598.0
140.0,1.0,9113.5403968616,18567.465268590342,515.2883552265579,24.599,672.32,1822.0
141.0,1.0,9346.173295299768,18112.788072022457,915.0,18.475,672.32,-1.0
142.0,1.0,11862.179600589327,20725.289025032136,617.2244533152493,10.279,672.32,1435.0
143.0,1.0,17321.82457876305,25141.991373175282,834.0,13.802,672.32,-1.0
144.0,1.0,4259.003964681174,19688.905539794934,693.8704066102799,10.753,672.32,127.0
145.0,1.0,15695.146370376979,19796.19500875058,527.9513114926546,15.899,672.32,2572.0
146.0,1.0,9574.825288488157,13809.556201526417,664.0,16.304,672.32,-1.0
147.0,1.0,20133.989289001034,23689.87120054756,599.0633079937568,7.5505,672.32,1938.0
148.0,1.0,13523.573190889649,24077.83043579498,754.6600798554092,24.371,672.32,396.0
149.0,1.0,18645.206608840363,24977.308779839812,689.2688902064175,13.07,672.32,1253.0
150.0,1.0,11672.18687531247,20274.8284968484,769.8544659645258,7.5701,672.32,684.0
151.0,1.0,7240.244929022088,18021.17257349054,690.0,4.5593,672.32,-1.0
