"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
154.0,3.0,20985.0,424.19,111.76,111.76,391.58,40.559,13.764,694.06,0.0,1.0,0.0,-1.2938,691.0
157.0,3.0,40084.0,1616.1,160.83,160.83,756.05,37.881,14.802,699.82,0.0,1.0,0.0,-1.2112,693.97
158.0,3.0,35107.0,1964.3,179.27,179.27,365.8,41.299,31.856,704.63,0.0,1.0,0.0,-1.4812,699.51
159.0,3.0,27303.0,2368.8,122.04,122.04,497.76,44.743,12.132,705.13,0.0,1.0,0.0,-0.57824,701.15
161.0,3.0,29258.0,4271.8,149.17,149.17,947.77,44.615,9.7668,703.1,0.0,1.0,0.0,-0.72628,698.83
162.0,3.0,53798.0,5655.3,222.86,222.86,894.43,25.251,20.722,705.39,0.0,1.0,0.0,0.41292,697.55
163.0,3.0,22790.0,5738.4,176.19,176.19,347.72,46.311,35.038,693.26,0.0,1.0,0.0,0.52342,689.94
164.0,3.0,13149.0,6412.0,161.46,161.46,783.13,44.959,13.08,701.49,0.0,1.0,0.0,-0.28096,699.57
165.0,3.0,40628.0,6490.4,130.38,130.38,345.11,38.819,18.559,705.71,0.0,1.0,0.0,-0.81507,699.79
168.0,3.0,25680.0,7371.0,202.1,202.1,572.68,44.66,26.695,702.65,0.0,1.0,0.0,0.63582,698.9
171.0,3.0,21424.0,8583.0,193.53,193.53,886.93,49.862,17.678,694.8,0.0,1.0,0.0,0.27104,691.68
172.0,3.0,19196.0,8870.7,131.6,131.6,700.87,49.452,9.6306,702.17,0.0,1.0,0.0,-0.72355,699.37
173.0,3.0,10566.0,9083.1,192.66,192.66,874.65,40.258,17.42,693.83,0.0,1.0,0.0,-0.1072,692.29
175.0,3.0,24228.0,10367.0,128.89,128.89,778.63,47.837,8.7437,702.41,0.0,1.0,0.0,0.40816,698.88
176.0,3.0,26952.0,10917.0,156.72,156.72,1495.8,49.453,9.1748,705.79,0.0,1.0,0.0,-0.68893,701.86
177.0,3.0,33444.0,11983.0,201.57,201.57,718.02,46.466,21.244,703.09,0.0,1.0,0.0,-0.56415,698.22
178.0,3.0,48551.0,12791.0,136.28,136.28,295.45,33.045,20.717,703.4,0.0,1.0,0.0,-0.21476,696.33
180.0,3.0,29579.0,16574.0,112.41,112.41,488.87,48.173,11.221,699.71,0.0,1.0,0.0,-0.073593,695.4
181.0,3.0,15355.0,17460.0,157.58,157.58,714.06,47.263,14.612,705.39,0.0,1.0,0.0,-0.30773,703.15
182.0,3.0,10326.0,18718.0,123.49,123.49,729.43,44.518,9.9001,697.14,0.0,1.0,0.0,0.24925,695.63
183.0,3.0,9307.5,19124.0,153.73,153.73,473.8,39.172,19.264,698.52,0.0,1.0,0.0,-0.30208,697.16
184.0,3.0,11851.0,19135.0,155.1,155.1,419.48,45.151,24.409,692.17,0.0,1.0,0.0,0.96377,690.44
186.0,3.0,2833.7,19607.0,163.08,163.08,1583.3,43.49,8.9089,698.51,0.0,1.0,0.0,0.22476,698.1
187.0,3.0,46273.0,19887.0,135.5,135.5,520.69,33.97,13.817,703.01,0.0,1.0,0.0,0.44932,696.27
188.0,3.0,44780.0,21715.0,151.61,151.61,420.75,35.449,22.633,705.66,0.0,1.0,0.0,-0.052927,699.13
189.0,3.0,45345.0,23399.0,150.66,150.66,282.99,33.993,29.65,700.04,0.0,1.0,0.0,0.94452,693.43
190.0,3.0,49704.0,23532.0,173.09,173.09,2077.0,35.191,9.2359,697.08,0.0,1.0,0.0,0.5641,689.83
