config_name,alpha,phi,n_domains
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-127.txt.gz,1.2,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-128.txt.gz,1.2,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-129.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-13.txt.gz,1.2,0.08,79.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-130.txt.gz,1.2,0.08,57.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-131.txt.gz,1.2,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-132.txt.gz,1.2,0.08,77.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-133.txt.gz,1.2,0.08,76.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-134.txt.gz,1.2,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-135.txt.gz,1.2,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-136.txt.gz,1.2,0.08,80.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-137.txt.gz,1.2,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-138.txt.gz,1.2,0.08,64.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-139.txt.gz,1.2,0.08,74.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-14.txt.gz,1.2,0.08,78.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-140.txt.gz,1.2,0.08,85.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-141.txt.gz,1.2,0.08,44.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-142.txt.gz,1.2,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-143.txt.gz,1.2,0.08,67.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-144.txt.gz,1.2,0.08,72.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-145.txt.gz,1.2,0.08,51.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-146.txt.gz,1.2,0.08,75.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-147.txt.gz,1.2,0.08,74.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-148.txt.gz,1.2,0.08,74.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-149.txt.gz,1.2,0.08,71.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-15.txt.gz,1.2,0.08,63.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-150.txt.gz,1.2,0.08,57.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-151.txt.gz,1.2,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-152.txt.gz,1.2,0.08,65.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-153.txt.gz,1.2,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-154.txt.gz,1.2,0.08,67.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-155.txt.gz,1.2,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-156.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-157.txt.gz,1.2,0.08,51.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-158.txt.gz,1.2,0.08,71.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-159.txt.gz,1.2,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-16.txt.gz,1.2,0.08,64.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-160.txt.gz,1.2,0.08,75.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-161.txt.gz,1.2,0.08,69.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-162.txt.gz,1.2,0.08,76.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-163.txt.gz,1.2,0.08,45.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-164.txt.gz,1.2,0.08,77.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-165.txt.gz,1.2,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-166.txt.gz,1.2,0.08,74.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-167.txt.gz,1.2,0.08,81.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-168.txt.gz,1.2,0.08,61.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-169.txt.gz,1.2,0.08,71.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-17.txt.gz,1.2,0.08,84.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-170.txt.gz,1.2,0.08,72.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-171.txt.gz,1.2,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-172.txt.gz,1.2,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-173.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-174.txt.gz,1.2,0.08,57.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-175.txt.gz,1.2,0.08,61.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-176.txt.gz,1.2,0.08,71.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-177.txt.gz,1.2,0.08,66.0
