"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2","fwhm0","fwhm1"
764.0,68.0,11552.701752456382,15316.313667141625,365.38,365.38,12573.0,619.63,17.299,699.22,0.0,284.0,157.28,-1.4895,701.37,525.3,857.62
775.0,69.0,9283.603980682168,16850.30883890568,168.5,168.5,1557.9,36.753,33.362,700.73,0.0,-244.0,304.58,-3.4714,702.46,953.87,672.73
776.0,70.0,5977.206208907956,7204.004010669731,243.9,243.9,4286.9,550.49,31.603,693.65,0.0,-64.0,288.26,1.272,694.76,527.72,489.15
788.0,71.0,9546.808437133745,7826.099182433784,276.17,276.17,3862.9,1.503,30.556,696.91,0.0,103.0,278.44,-0.19415,698.69,531.26,663.24
794.0,72.0,5759.110665359531,7206.894354197838,332.23,332.23,11853.0,11.742,16.034,693.16,0.0,-98.0,146.35,0.39003,694.23,526.21,460.49
802.0,72.0,6485.410665359531,14073.294354197838,305.23,305.23,5222.3,604.79,30.373,697.75,0.0,-270.0,277.37,-0.010251,698.96,622.5,425.42
810.0,73.0,6389.6128935853185,14106.289525961889,133.04,133.04,1388.9,717.41,20.851,701.53,0.0,-312.0,190.62,0.35462,702.72,691.9,453.03
815.0,74.0,6178.315121811107,8217.784697725945,257.68,257.68,6441.0,676.18,18.499,695.62,0.0,195.0,168.36,-0.23533,696.77,379.72,549.62
823.0,74.0,6668.215121811107,15922.284697725945,1259.7,1259.7,396740.0,686.79,7.3602,693.74,0.0,110.0,66.935,1.2762,694.98,597.3,754.18
831.0,75.0,11316.717350036894,13723.279869489996,338.49,338.49,10402.0,827.88,22.632,697.85,0.0,-139.0,206.58,-2.8147,699.96,720.63,589.88
835.0,76.0,6989.11957826268,6884.87504125405,1291.8,1291.8,552640.0,476.57,5.4454,696.65,0.0,-52.0,49.734,-1.5628,697.95,936.82,888.21
845.0,77.0,4600.921806488468,7549.270213018103,585.99,585.99,61976.0,0.1,8.6467,694.44,0.0,-20.0,78.872,1.8838,695.29,762.58,764.23
846.0,77.0,9268.521806488468,7836.670213018103,285.67,285.67,5520.5,179.25,25.024,695.56,0.0,-18.0,228.19,-0.12635,697.29,478.32,481.27
849.0,77.0,11303.72180648847,10659.270213018102,346.02,346.02,21658.0,781.22,14.232,696.66,0.0,-180.0,130.05,-0.1309,698.76,359.42,276.11
856.0,78.0,4567.024034714255,7603.465384782156,486.13,486.13,29727.0,0.1,15.909,699.79,0.0,705.0,143.93,1.4592,700.64,763.25,1562.3
874.0,80.0,9326.12849116583,7909.955728310262,289.57,289.57,4973.7,521.44,26.567,693.68,0.0,-45.0,242.31,-0.46091,695.41,548.39,525.94
878.0,80.0,4522.228491165831,10905.255728310261,305.98,305.98,9497.4,658.31,20.258,697.63,0.0,-192.0,185.01,0.12096,698.47,780.39,589.48
881.0,81.0,9282.330719391617,7865.050900074315,280.46,280.46,4085.4,684.69,28.816,702.13,0.0,-167.0,263.01,-0.1473,703.86,610.54,478.55
889.0,81.0,12887.730719391617,17238.250900074312,167.72,167.72,4090.4,711.48,14.019,696.51,0.0,173.0,127.55,1.306,698.91,396.33,555.15
891.0,82.0,9313.832947617404,7904.546071838368,131.62,131.62,934.56,609.58,28.138,698.14,0.0,31.0,256.51,-0.35774,699.87,381.79,419.48
895.0,82.0,4439.132947617404,10745.246071838368,99.121,99.121,687.45,477.46,31.717,701.84,0.0,-247.0,289.59,1.9332,702.67,627.57,440.99
902.0,83.0,7431.035175843192,7503.341243602422,472.49,472.49,22307.0,663.87,19.878,694.13,0.0,-486.0,182.02,2.0168,695.51,717.37,421.28
920.0,84.0,10444.73740406898,12504.236415366475,209.92,209.92,3679.0,815.13,23.15,701.14,0.0,-120.0,211.27,0.18119,703.08,417.09,351.66
949.0,88.0,4289.946316972128,9087.217102422686,1402.0,1402.0,678440.0,7.0006,4.8731,693.31,0.0,73.0,44.317,-2.8212,694.11,868.64,1029.9
951.0,88.0,5115.746316972129,10274.217102422686,312.78,312.78,7678.5,723.88,25.868,695.23,0.0,-174.0,236.14,-2.0098,696.18,511.12,396.04
960.0,89.0,7576.648545197914,7542.612274186738,207.39,207.39,3214.2,670.14,22.123,697.21,0.0,-12.0,201.73,1.8926,698.62,478.41,486.72
963.0,89.0,9424.648545197917,11988.21227418674,349.52,349.52,9674.4,771.21,21.843,698.46,0.0,-14.0,199.19,0.061154,700.22,583.14,591.15
964.0,89.0,10495.748545197917,12419.21227418674,104.71,104.71,1197.6,747.23,16.047,693.41,0.0,22.0,146.28,-1.1074,695.36,877.12,949.65
